actor_id,name,birthYear,deathYear,primaryProfession
nm0186728,Clayne Crawford,1978,\N,"actor,producer,director"
nm0186803,J.W. Crawford,1954,\N,actor
nm0187092,Lynda Marnoni,\N,\N,actress
nm0187719,Terry Crews,1968,\N,"actor,soundtrack,producer"
nm0187724,Wendy Crewson,1956,\N,"actress,producer"
nm0188220,Roark Critchlow,1963,\N,"actor,writer,producer"
nm0188270,Vincenzo Crivello,1969,\N,actor
nm0188297,Kevin Croak,1956,2020,actor
nm0188568,Doña Croll,1953,\N,actress
nm0189144,David Cross,1964,\N,"actor,writer,producer"
nm0189220,Marcia Cross,1962,\N,actress
nm0189468,Brian Croucher,1942,\N,"actor,director,producer"
nm0190189,Shireen Crutchfield,1970,\N,"actress,soundtrack"
nm0190327,Gregory Cruz,\N,\N,"actor,miscellaneous"
nm0190467,Soliman Cruz,\N,\N,"actor,miscellaneous,writer"
nm0190497,Wilson Cruz,1973,\N,"actor,producer"
nm0190722,Sándor Csikós,1941,\N,actor
nm0190775,Imre Csuja,1960,\N,actor
nm0190821,Petr Ctvrtnícek,1964,\N,"actor,writer,director"
nm0191504,Max Cullen,1940,\N,"actor,writer"
nm0191529,Siobhán Cullen,\N,\N,actress
nm0191708,Jon Culshaw,1968,\N,"actor,writer,producer"
nm0192056,Steve Cumyn,\N,\N,"actor,miscellaneous"
nm0192173,Gonzalo Cunill,\N,\N,actor
nm0192568,Kris Cuppens,1962,\N,"actor,writer"
nm0192603,Vincent Curatola,1953,\N,"actor,director,writer"
nm0192838,Jake Curran,\N,\N,actor
nm0192889,Tony Curran,1969,\N,"actor,camera_department"
nm0192997,Sondra Currie,\N,\N,"actress,producer,executive"
nm0193135,Stephen Curry,1976,\N,"actor,writer,producer"
nm0193160,Catherine Curtin,\N,\N,"actress,producer"
nm0193428,Lucinda Curtis,1941,\N,actress
nm0193554,Vondie Curtis-Hall,1950,\N,"actor,director,soundtrack"
nm0193691,Aric Cushing,1973,\N,"actor,producer,writer"
nm0193846,Elisha Cuthbert,1982,\N,"actress,director,producer"
nm0193883,Mimmo Cuticchio,\N,\N,actor
nm0194305,Piotr Cyrwus,1961,\N,"actor,director,writer"
nm0194541,Baldomero Cáceres,\N,\N,actor
nm0194546,Eduardo Cáceres Staackmann,\N,\N,"sound_department,composer"
nm0194572,Javier Cámara,1967,\N,"actor,soundtrack,director"
nm0194662,Clémentine Célarié,1957,\N,"actress,writer,director"
nm0194953,Peter D'Alessio,\N,\N,"producer,writer,production_manager"
nm0195082,Stephen D'Ambrose,\N,\N,actor
nm0195120,Domitilla D'Amico,1982,\N,"actress,miscellaneous"
nm0195156,Roberto D'Amico,1946,\N,"actor,director"
nm0195197,Normand D'Amour,1962,\N,"actor,writer"
nm0195268,Giovan Ramos,1970,\N,"actor,producer"
nm0195439,James D'Arcy,1975,\N,"actor,director,writer"
nm0195625,Alessandra D'Elia,\N,\N,"actress,camera_department,miscellaneous"
nm0195626,Chris D'Elia,1980,\N,"actor,writer,producer"
nm0195844,Joseph D'Onofrio,\N,\N,"actor,director,writer"
nm0196024,Pascoal da Conceição,1953,\N,actor
nm0196148,Claudio Da Passano,1957,2023,"actor,miscellaneous"
nm0196669,Holger Daemgen,1969,\N,actor
nm0196909,Darlene Tejeiro,1975,\N,actress
nm0197240,Leon Dai,1966,\N,"actor,director,editor"
nm0197582,Sudhir Dalvi,1939,\N,actor
nm0197647,James Badge Dale,1978,\N,actor
nm0197715,Jim Dale,1935,\N,"actor,soundtrack,writer"
nm0197910,Kenny Dalglish,1951,\N,"actor,editor"
nm0198306,Kristen Dalton,1973,\N,"actress,producer"
nm0198366,Tony Dalton,1975,\N,"actor,writer,producer"
nm0198606,Olga Damani,\N,\N,actress
nm0198732,Simeon Moni Damevski,\N,\N,"actor,casting_director,producer"
nm0199047,Audrey Dana,1977,\N,"actress,writer,director"
nm0199118,Malcolm Danare,1962,\N,"actor,producer,writer"
nm0199193,Wim Danckaert,1962,\N,"actor,miscellaneous"
nm0199355,Normand Daneau,\N,\N,"actor,writer,director"
nm0199774,Isa Danieli,1937,\N,"actress,assistant_director,soundtrack"
nm0200702,Dany Boon,1966,\N,"actor,writer,producer"
nm0200800,Michael Tao,1963,\N,actor
nm0200848,Ingeborga Dapkunaite,1963,\N,"actress,soundtrack"
nm0201462,Gérard Darmon,1948,\N,"actor,soundtrack,writer"
nm0201669,Jean-Pierre Darroussin,1953,\N,"actor,director,writer"
nm0201903,Nandita Das,1969,\N,"actress,animation_department,director"
nm0201911,Saurav Das,1989,\N,actor
nm0201965,Damon Dash,1971,\N,"producer,actor,director"
nm0202207,Salim Daw,1951,\N,actor
nm0202290,Allyson Daugherty,1978,\N,"actress,miscellaneous,writer"
nm0202299,Jay Dee Daugherty,\N,\N,"soundtrack,actor,music_department"
nm0202516,Ricky Davao,1961,\N,"director,actor,assistant_director"
nm0202795,Wayne David Parker,\N,\N,"actor,stunts"
nm0202804,Alan David,1947,\N,actor
nm0202966,Keith David,1956,\N,"actor,soundtrack,producer"
nm0203308,Eileen Davidson,1959,\N,"actress,producer,writer"
nm0203370,Jeremy Davidson,1971,\N,"actor,writer,producer"
nm0203457,Pete Davidson,1993,\N,"actor,producer,writer"
nm0203958,Rudi Davies,1965,\N,actress
nm0204583,Essie Davis,1970,\N,"actress,producer,soundtrack"
nm0204797,Jeff Bryan Davis,1973,\N,"writer,director,actor"
nm0205289,Phil Davis,1953,\N,"actor,director,writer"
nm0205373,Rochelle Davis,1980,\N,actress
nm0205626,Viola Davis,1965,\N,"actress,producer,soundtrack"
nm0205772,Ken Davitian,1953,\N,"actor,producer,writer"
nm0205793,Ninetto Davoli,1948,\N,"actor,assistant_director"
nm0205806,Mohammad-Reza Davoudnejad,\N,\N,actor
nm0205808,Reza Davoudnejad,\N,\N,"actor,producer,writer"
nm0205812,Cem Davran,1964,\N,actor
nm0206257,Rosario Dawson,1979,\N,"actress,producer,soundtrack"
nm0206582,Shannon Day,\N,\N,"actress,miscellaneous"
nm0206778,Mauricio Dayub,1960,\N,"actor,writer,soundtrack"
nm0206913,Acácio de Almeida,1938,\N,"cinematographer,camera_department,producer"
nm0207458,Manuel de Blas,1941,\N,"actor,writer"
nm0207767,Enzo Decaro,1958,\N,"actor,writer,director"
nm0207891,Gonzalo de Castro,1963,\N,"actor,music_department,sound_department"
nm0208027,Rosaria De Cicco,\N,\N,actress
nm0208569,Paolo De Giorgio,1965,\N,"actor,casting_director,editor"
nm0208969,Radamés de Jesús,\N,\N,"actor,director,writer"
nm0209035,Jules de Jongh,\N,\N,"actress,soundtrack,music_department"
nm0209113,Richard de Klerk,1984,\N,"actor,producer,director"
nm0209135,Luk De Koninck,1952,\N,"actor,director,casting_director"
nm0209246,Cristián de la Fuente,1974,\N,"actor,producer,writer"
nm0209289,Paz de la Huerta,1984,\N,actress
nm0209336,Danny De La Paz,1957,\N,"actor,producer,casting_department"
nm0209337,Dido de la Paz,\N,\N,actor
nm0209373,Barrington De La Roche,\N,\N,"actor,director,writer"
nm0209409,Antonio de la Torre,1968,\N,"actor,soundtrack,producer"
nm0209417,Leandro De la Torre,1977,\N,"actor,producer,camera_department"
nm0209622,Bárbara de Lema,\N,\N,"actress,talent_agent"
nm0209833,Massimo De Lorenzo,\N,\N,"actor,writer,director"
nm0209909,Luigi De Luca,\N,\N,"actor,art_department"
nm0209948,Fabio De Luigi,1967,\N,"actor,writer,director"
nm0210013,Caroline De Maigret,\N,\N,"actress,director"
nm0210206,Antoine de Maximy,\N,\N,"director,writer,cinematographer"
nm0210218,Maria de Medeiros,1965,\N,"actress,director,writer"
nm0210267,Emílio de Mello,\N,\N,actor
nm0210295,Michael De Mesa,\N,\N,"actor,director,writer"
nm0210607,Marco Mario de Notaris,1975,\N,"actor,director,writer"
nm0210855,Vince Duvall,\N,\N,"actor,producer,director"
nm0210858,Mingo De Pasquale,\N,\N,"actor,director,producer"
nm0211144,Libero De Rienzo,1977,2021,"actor,director,writer"
nm0211433,Stefano De Sando,1954,\N,"miscellaneous,actor,composer"
nm0211565,Christian De Sica,1951,\N,"actor,writer,director"
nm0211599,Pietro De Silva,1954,\N,"actor,director"
nm0211701,Arlete de Sousa,1953,\N,"actress,miscellaneous"
nm0211767,Edward de Souza,1932,\N,"actor,director,writer"
nm0211920,Marina de Tavira,1974,\N,actress
nm0211956,Guillaume de Tonquédec,1966,\N,actor
nm0212016,Marijn De Valck,1951,\N,"actor,soundtrack"
nm0212077,Yannick van de Velde,1989,\N,"actor,writer,miscellaneous"
nm0212204,Paolo De Vita,1957,\N,"actor,director,writer"
nm0212534,Lunden De'Leon,\N,\N,"actress,producer,writer"
nm0212563,Adam Deacon,1983,\N,"actor,soundtrack,director"
nm0212758,Douglas Dean,\N,\N,"actor,miscellaneous"
nm0212809,Jeffery Dean,\N,\N,"actor,producer"
nm0213493,Kurush Deboo,1963,\N,actor
nm0213766,Antonio Dechent,1960,\N,"actor,writer"
nm0213912,Jan Decleir,1946,\N,"actor,art_department"
nm0213914,Reinhilde Decleir,1948,2022,actress
nm0214661,Rupert Degas,1970,\N,"actor,producer,miscellaneous"
nm0214860,Raffaello Degruttola,\N,\N,"actor,director,producer"
nm0214911,Gary Lipkowitz,\N,\N,"actor,miscellaneous,producer"
nm0215543,Claudio Del Falco,1972,\N,"actor,writer,director"
nm0215694,Teresa del Olmo,\N,\N,"actress,miscellaneous,producer"
